#,One-Liner
65,Open-source AI notetaker for the enterprise
66,The AI data analyst for biology labs
67,America's Golden Dome for Drones
68,"Automating clinical trials, starting with patient recruitment."
69,Automates insurance claims and stops incorrect payouts
70,Autonomous undersea vehicles to deter maritime invasions.
71,Cursor for music production
72,Analyze and understand complex agent workflows with clarity.
73,Helping companies rank in AI search
74,Context augmentation for agents
75,Shopify for saas
76,AI agents for distributors and manufacturers to automate order entry.
77,"Modern compliance for drones, robots, IoT, and beyond"
78,The Offensive Security Team that never sleeps.
79,Database of every product on the internet
80,"ChatGPT's memory feature in an open, portable format"
81,"AI agents for in-person sales teams, starting with coaching"
82,Coding Agent for Firmware
83,We Bring Customers to Your Dealership
84,Chemical Copilot for Pharma and Biotech
85,The agentic debugger for AI systems
86,Workflow automation that routes tasks to humans and AI
87,AI agents for property accounting
88,Autonomous AI workforce for PE roll-ups
89,Simulated human biology and synthetic medical datasets.
90,Infrastructure for hospitals to monitor and deploy clinical AI
91,AI-native Red Teaming and Offensive Security
92,Deep research for class action law firms
93,Building tiny frontier AI models that run on edge devices
94,"Firmware in minutes, not months - rigorously tested on real hardware"
95,Implantable microchips and AI for cattle monitoring
96,Training the best computer use models in the world. Automate anything.
97,AI-native video production software that automates post-production
98,AI Native Ops Layer for Business Workflows
99,Palantir for Healthcare AI Agents
100,AI scribe for Ambulance Reports
101,Open-source alternative to Cloudflare Tunnels
102,AI media manager
103,Digital employees for manufacturing operations
104,Help AI data centers unlock more compute and become more efficient
105,Lovable for automations
106,Your team's on-call AI engineer
107,Frontier Intelligence. On Any Device.
108,The billing system for AI products
109,"Analyze any footage, without training a model"
110,Secure access control and authorization platform for agent workflows
111,The World's First AI Ad Network.
112,Spot GPUs that use idle GPUs from enterprises
113,The AI-Native Jira
114,Self learning computer use agent for developers
115,AI phone agents for Commercial Lending
116,Audio Data for AI Labs
117,Cursor for CUDA
118,Making Models Follow Rules.
119,AI agents that find you customers who already want to buy
120,An expert for your spatial data
121,World's largest crowdsourced benchmark for AI-generated design
122,The AI OS for Cities
123,"Vibe code, test, and deploy Swift apps. All from your iPhone."
124,AI Native Billing Platform
125,Physics-based foundation models for CAD optimization.
126,AI DevOps Engineer
127,Helping construction contractors find errors in blueprints
128,Auto-optimizer for AI agents
129,AI models that teach robots new skills in hours
130,The first AI pharmacy technician
131,Scale AI for video and voice data.
132,Superhuman for text messages
133,AI Agents that Find Bugs in Your Product
134,"The fastest, most affordable payroll for global teams"
135,Most Powerful AI Video Gen Model for Explainer Videos From Documents
136,AI-native Linear
137,Voice AI for booking freight
138,AI advisor for retail investors
139,RNA-based AI for better drugs and smarter clinical trials.
140,Automatically blocking risky behavior with real-time governance agents
141,API email service provider for AI Agents
142,Open source AI agents auto-fix your production bugs
143,Simple platform to create data for AI
144,We help products get mentioned in ChatGPT.
145,AI CSR + Dispatch for HVAC
146,Connect any LLM to any MCP tools and create complex agents in minutes.
147,AI employees for commercial real estate
148,An AI-Native Browser
149,Tech-Enabled Distributor for Retailers in Southeast Asia
150,AI companion that helps you learn languages
151,Sell with a text.
152,Synthetic Users to Simulate Real Users
153,AI inference engine for phones & AI-native devices
154,The first ops platform for forward deployed engineers
155,The AI knowledge graph for institutional investors
156,AI voice for property managers
157,AI-powered Account Managers
158,Helping scientists and engineers run experiments with AI.
159,Billing infrastructure for AI
160,Al platform that makes social marketing as easy as running a Google…
161,Local visual web development tool with AI-powered code modification
162,AI-powered compensation benchmarking platform
163,Automatically hire remote knowledge workers
164,Generative engine optimization for AI search visibility
165,Real-time prediction market data APIs
166,AI-powered automation for recruiting and workflows
167,AI-driven no-code mobile app development
168,AI video ad creation platform
169,AI voice agents for medical billing calls
170,AI Customer Support for hardware companies
171,Stratospheric data delivery and communication solutions
172,Automated auditing tasks using AI technology
173,Open source integration platform for agentic AI
174,Duplex conversational AI research and development
175,Platform for building backend services without code
176,AI-Powered Legal Platform for Law Firms
177,On-brand AI agents for sales and support
178,Self-hosted code understanding platform
179,AI agents for automating finance operations
180,AI-powered service delivery automation for MSPs
181,AI-driven content operations for B2B
182,AI patent infringement monitoring platform
183,Serverless API for streaming data
184,Create personalized children's shows with AI
185,Diverse real-world data for embodied AI
186,AI software for insurance brokers automating admin tasks
187,AI-powered platform for legal workflow automation
188,Flexible compliance engine for enterprises
189,AI-powered receptionist for 24/7 customer engagement
190,Sober tracker combining AI and CBT techniques
191,Adaptive AI infrastructure for agentic systems
192,Trustless authentication and authorization platform
193,AI agents for intelligent document automation
194,Cross-cloud elastic compute for AI and HPC
195,AI-powered comprehensive research assistant
196,Cross listing app for online marketplaces
197,AI-driven fire safety system design automation
198,AI-powered tools for video creation and editing
199,Math data for AGI from top mathematicians
200,Space defense technology for missile protection
201,Digital twin technology for knowledge retention
202,AI-powered accounting with automated processes
203,24/7 AI agents for merchandising industry
204,Automated offensive security for high-stakes industries
205,Free AI image detector for various generators
206,Agentic audio-to-video filmmaking platform
207,Production-grade browser use agents platform
208,Failure monitoring for AI agents
209,Job application platform using swiping mechanics
210,AI agents for on-call incident management
211,Voice AI agents for Indian languages
212,UK's fastest payment platform with low fees
213,AI agents for racecar engineers
214,TikTok-style language app for learning Spanish
215,AI co-pilot for pre-construction design engineering
216,Next-gen performance marketing platform
217,AI that aligns specs and drawings for construction
218,24/7 AI voice agent for pharmacies
219,Platform for creating mashups of content
220,AI-powered call handling for car dealerships
221,AI-powered insurance brokerage for businesses
222,Digital co-worker for logistics operations
